mint_address,collected_at,index
8ntlZJhx_DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,2025-07-29T16:27:30.696606,0
4ZTzLk9dsmzLFSmT1tcFeLUyfKhuGPpWQPakkY8Hpump,2025-07-29T16:27:30.696606,1
9Nj2NN9z1JxmSPDtJ7b2VWn3m8RgeZx2jAeGWTp2pump,2025-07-29T16:27:30.696606,2
H9kRfXFRK6vbfCkq4TpGbqxV1YUQUMcdL3aQHNV6pump,2025-07-29T16:27:30.696606,3
BUeSBsAanxQeM3EdpPvb7pciEQ4TALRQNfp9HCGexfwG,2025-07-29T16:27:30.696606,4
CJanz249LgvmL21uJsqpKfj7DLD4rQiBcoTUpHSemRS8,2025-07-29T16:27:30.696606,5
96rAdTjjivb2icfvDw3TMa7n6zqmR5ptS4sNLipHpump,2025-07-29T16:27:30.696606,6
GPrGBEsZzKrW5Z41NDTi248ZXcjnEjeUTZKY941gQCcN,2025-07-29T16:27:30.696606,7
DxuZtRqzVonQ6yFqv5fpDAUQS4pXvBxjR6x9CEvCukVd,2025-07-29T16:27:30.696606,8
DeZxX3TWH9P5rG6fGqA5AuSW1pBs3mrF3eFmf9FrefSR,2025-07-29T16:27:30.696606,9
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,2025-07-29T16:27:30.696606,10
2uRjR2mJ3z7wc4iFUSrLPtaznJ9nP3N3P5fS4tJgeG6z,2025-07-29T16:27:30.696606,11
45EKQR2Q3wX5TMs8Tte3q7wP5y5m8Gq3Y2rF55p6gKVL,2025-07-29T16:27:30.696606,12
4bchXqC3H6X3rL5wT3cdpV3LRTwg3Tq7nq1Bmc1r5m4L,2025-07-29T16:27:30.696606,13
